Product ID            |Product Name|Quantity|Medicento Price|MRP|Discount| - |-|Manufacturer|.|Y|0.000|0.000|0.000|0.00|,,
101001         |ACTRAPID F-PEN * SINGLE  @|3ML|377.44|471.80|0.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101002         |ACTRAPID PENFIL * BOX   @|5X3ML|1160.00|1450.00|35.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101003         |MUMFER-MAX TAB |15S|158.64|234.00|9.000| - |-|GLENMARK & GYNAE |.|Y|0.000|0.000|0.000|0.00|,,
101004         |HUMAN ACTRAPID 40 IU  (CC)@|10ML|123.73|154.66|736.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101005         |HUMAN INSULATARD (CC)@|10ML|123.73|154.66|51.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101006         |HUMAN MIXTARD 100 IU  (CC)@|10ML|328.00|410.00|43.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101007         |HUMAN MIXTARD 40 IU  (CC)@|10ML|123.73|154.66|1796.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101008         |HUMAN MIXTARD 50/50 (CC)@|10ML|145.20|181.50|88.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101009         |INSULATARD F-PEN * SINGLE  @(CC)|EACH|377.44|471.80|11.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101010         |INSULATARD PENFIL * BOX   @(CC)|5X3ML|1160.00|1450.00|15.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101011         |MIXTARD 30 F-PEN * SINGLE  @(CC)|EACH|377.44|471.80|85.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101012         |MIXTARD 30 PENFIL * BOX   @(CC)|5X3ML|1160.00|1450.00|379.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101013         |MIXTARD 50 F-PEN * SINGLE  @(CC)|3ML|1060.00|1325.00|0.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101014         |MIXTARD 50 PENFIL * BOX   @(CC)|5X3ML|1160.00|1450.00|45.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101015         |NOVOFINE NEEDELS    @|100S|1080.36|1375.00|19.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101016         |NOVOMIX 30 F-PEN * SINGLE  @(CC)|3ML|633.60|792.00|189.000| - |-|ABBOTT- NOVO PM|.|Y|0.000|0.000|0.000|0.00|,,
101017         |NOVOMIX 30 PENFIL * BOX   @(CC)|5X3ML|2564.80|3206.00|48.000| - |-|ABBOTT- NOVO PM|.|Y|0.000|0.000|0.000|0.00|,,
101018         |NOVOMIX 50 F-PEN * SINGLE  @(CC)|3ML|655.52|819.40|27.000| - |-|ABBOTT- NOVO PM|.|Y|0.000|0.000|0.000|0.00|,,
101019         |NOVONORM 0.5MG TAB|2X15|157.14|220.00|27.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101020         |NOVONORM 1MG TAB|2X15|262.86|368.00|7.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101021         |NOVONORM 2 TAB  |2X15|392.86|550.00|10.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101022         |NOVOPEN 4 PEN   |1S|1070.71|1499.00|4.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101023         |NOVORAPID 100 IU  @(CC)|10ML|1540.00|1925.00|14.000| - |-|ABBOTT- NOVO PM|.|Y|0.000|0.000|0.000|0.00|,,
101024         |NOVORAPID F-PEN * SINGLE  @(CC)|3ML|633.60|792.00|45.000| - |-|ABBOTT- NOVO PM|.|Y|0.000|0.000|0.000|0.00|,,
101025         |NOVORAPID PENFIL * BOX   @(CC)|5X3ML|2564.00|3206.00|30.000| - |-|ABBOTT- NOVO PM|.|Y|0.000|0.000|0.000|0.00|,,
101026         |ABOCAL 500 TAB|15S|85.49|119.68|27.000| - |-|ABBOTT - METABOLICS|.|Y|0.000|0.000|0.000|0.00|,,
101027         |LEVEMIR F-PEN  @|3ML|959.20|1199.00|24.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
101028         |VICTOZA INJ(CC)|VAIL|3802.94|5324.00|116.000| - |-|ABBOTT - VICTOZA|.|Y|0.000|0.000|0.000|0.00|,,
101029         |GLUCAGON HYPOKIT(CC)|1S|754.29|990.00|1.000| - |-|ABBOTT- NOVO   - MIX|.|Y|0.000|0.000|0.000|0.00|,,
